frequency,raw
5463.758789,100.112
5503.351562,100.636
5543.230957,101.327
5583.399414,102.098
5623.859375,102.82
5664.611816,103.396
5705.660156,103.86
5747.005859,104.272
5788.650879,104.641
5830.597656,104.985
5872.848633,105.277
5915.405762,105.45
5958.271484,105.504
6001.447266,105.426
6044.936523,105.226
6088.740234,105.053
6132.861816,104.995
6177.303223,104.93
6222.066406,104.761
6267.154297,104.56
6312.568359,104.419
6358.312012,104.329
6404.386719,104.324
6450.795898,104.438
6497.541016,104.576
6544.625,104.561
6592.049805,104.444
6639.818359,104.21
6687.933594,103.872
6736.396973,103.549
6785.211426,103.167
6834.379883,102.632
6883.904785,101.921
6933.788574,101.081
6984.033691,100.259
7034.642578,99.569
7085.618652,99.05
7136.963867,98.731
7188.681152,98.481
7240.773438,98.164
7293.243164,97.799
7346.092773,97.496
7399.325684,97.386
7452.944336,97.435
7506.951172,97.533
7561.350098,97.706
7616.142578,97.939
7671.332031,98.218
7726.921875,98.416
7782.914551,98.457
7839.3125,98.705
7896.119629,99.248
7953.337891,99.832
8010.971191,100.401
8069.021973,101.057
8127.493164,101.88
8186.388672,102.704
8245.710938,103.462
8305.461914,104.23
8365.647461,104.98
8426.267578,105.658
8487.328125,106.231
8548.831055,106.698
8610.779297,107.015
8673.176758,107.134
8736.026367,107.068
8799.331055,106.9
8863.094727,106.611
8927.320312,106.156
8992.010742,105.47
9057.170898,104.527
9122.802734,103.346
9188.910156,102.161
9255.49707,101.072
9322.566406,99.826
9390.121094,98.39
9458.166016,96.828
9526.704102,95.241
9595.738281,93.959
9665.273438,92.965
9735.311523,91.787
9805.857422,90.285
9876.915039,88.596
9948.487305,87.47
10020.57813,87.586
10093.19141,89.297
10166.33106,90.814
10240,92.129
10314.20313,93.838
10388.94434,95.432
10464.22656,96.653
10540.05469,97.625
10616.43262,98.514
10693.36328,99.223
10770.85254,99.644
10848.90234,99.935
10927.51758,100.024
11006.70313,99.805
11086.46191,99.512
11166.79883,99.399
11247.71875,99.01
11329.22363,98.076
11411.32031,97.142
11494.01172,96.489
11577.30176,95.911
11661.19531,95.421
11745.69727,95.31
11830.81152,95.473
11916.54297,95.611
12002.89453,95.633
12089.87305,95.461
12177.48047,95.224
12265.72363,95.166
12354.60645,95.372
12444.13281,95.768
12534.30859,96.139
12625.13672,96.234
12716.62402,95.899
12808.77344,95.295
12901.5918,94.714
12995.08203,94.359
13089.25,94.144
13184.09961,93.882
13279.63672,93.525
13375.86719,93.146
13472.79395,92.801
13570.42285,92.389
13668.75977,91.542
13767.80957,90.452
13867.57715,89.561
13968.06738,88.69
14069.28516,87.789
14171.23731,87.603
14273.92773,88.21
14377.36231,89.096
14481.54688,90.049
14586.48633,90.869
14692.18555,91.346
14798.65137,91.399
14905.88867,90.804
15013.90234,89.812
15122.7002,89.079
15232.28516,88.714
15342.66406,88.442
15453.84375,87.895
15565.8291,87.2
15678.625,86.689
15792.23926,86.253
15906.67578,85.86
16021.94238,85.653
16138.04395,85.851
16254.98633,86.683
16372.77734,88.066
16491.42188,89.898
16610.92383,92.227
16731.29492,94.528
16852.53516,95.402
16974.65625,94.554
17097.66211,93.639
17221.55859,93.163
17346.35352,92.811
17472.05273,92.217
17598.66211,91.344
17726.18945,90.347
17854.64063,89.335
17984.02148,88.395
18114.3418,87.537
18245.60547,86.836
18377.82031,86.531
18510.99414,86.599
18645.13281,86.967
18780.24219,87.481
18916.33203,88.03
19053.4082,88.664
19191.47656,89.292
19330.54688,89.721
19470.62305,89.945
19611.71484,89.859
19753.83008,89.562
19896.97461,89.304
